,cell,cell_ontology_class,mouse.id
M10.D043520.3_39_F.1.1,M10.D043520.3_39_F.1.1,myeloid cell,3_39_F
M10.D045064.3_38_F.1.1,M10.D045064.3_38_F.1.1,"CD4-positive, alpha-beta T cell",3_38_F
M10.MAA000531.3_8_M.1.1,M10.MAA000531.3_8_M.1.1,myeloid cell,3_8_M
M10.MAA000877.3_11_M.1.1,M10.MAA000877.3_11_M.1.1,macrophage,3_11_M
M11.B002314.3_56_F.1.1,M11.B002314.3_56_F.1.1,"CD4-positive, alpha-beta T cell",3_56_F
M11.D043520.3_39_F.1.1,M11.D043520.3_39_F.1.1,myeloid cell,3_39_F
M11.D045064.3_38_F.1.1,M11.D045064.3_38_F.1.1,macrophage,3_38_F
M11.MAA000914.3_9_M.1.1,M11.MAA000914.3_9_M.1.1,B cell,3_9_M
M12.B002314.3_56_F.1.1,M12.B002314.3_56_F.1.1,macrophage,3_56_F
M12.D043520.3_39_F.1.1,M12.D043520.3_39_F.1.1,macrophage,3_39_F
M12.D045064.3_38_F.1.1,M12.D045064.3_38_F.1.1,B cell,3_38_F
M12.MAA000531.3_8_M.1.1,M12.MAA000531.3_8_M.1.1,macrophage,3_8_M
M12.MAA000877.3_11_M.1.1,M12.MAA000877.3_11_M.1.1,B cell,3_11_M
M12.MAA000914.3_9_M.1.1,M12.MAA000914.3_9_M.1.1,macrophage,3_9_M
M13.B002314.3_56_F.1.1,M13.B002314.3_56_F.1.1,macrophage,3_56_F
M13.D043520.3_39_F.1.1,M13.D043520.3_39_F.1.1,myeloid cell,3_39_F
M13.D045064.3_38_F.1.1,M13.D045064.3_38_F.1.1,B cell,3_38_F
M13.MAA000531.3_8_M.1.1,M13.MAA000531.3_8_M.1.1,macrophage,3_8_M
M13.MAA000877.3_11_M.1.1,M13.MAA000877.3_11_M.1.1,"CD4-positive, alpha-beta T cell",3_11_M
M14.D045064.3_38_F.1.1,M14.D045064.3_38_F.1.1,macrophage,3_38_F
M14.MAA000531.3_8_M.1.1,M14.MAA000531.3_8_M.1.1,macrophage,3_8_M
M14.MAA000877.3_11_M.1.1,M14.MAA000877.3_11_M.1.1,B cell,3_11_M
M15.B002314.3_56_F.1.1,M15.B002314.3_56_F.1.1,"CD8-positive, alpha-beta T cell",3_56_F
M15.D045064.3_38_F.1.1,M15.D045064.3_38_F.1.1,B cell,3_38_F
M15.MAA000877.3_11_M.1.1,M15.MAA000877.3_11_M.1.1,myeloid cell,3_11_M
M16.D043520.3_39_F.1.1,M16.D043520.3_39_F.1.1,"CD8-positive, alpha-beta T cell",3_39_F
M16.D045064.3_38_F.1.1,M16.D045064.3_38_F.1.1,"CD4-positive, alpha-beta T cell",3_38_F
M16.MAA000531.3_8_M.1.1,M16.MAA000531.3_8_M.1.1,"CD8-positive, alpha-beta T cell",3_8_M
M16.MAA000877.3_11_M.1.1,M16.MAA000877.3_11_M.1.1,"CD4-positive, alpha-beta T cell",3_11_M
M18.MAA000877.3_11_M.1.1,M18.MAA000877.3_11_M.1.1,endothelial cell,3_11_M
M19.B002314.3_56_F.1.1,M19.B002314.3_56_F.1.1,endothelial cell,3_56_F
M19.MAA000914.3_9_M.1.1,M19.MAA000914.3_9_M.1.1,B cell,3_9_M
M20.B002314.3_56_F.1.1,M20.B002314.3_56_F.1.1,endothelial cell,3_56_F
M20.D045064.3_38_F.1.1,M20.D045064.3_38_F.1.1,endothelial cell,3_38_F
M20.MAA000877.3_11_M.1.1,M20.MAA000877.3_11_M.1.1,endothelial cell,3_11_M
M21.B002314.3_56_F.1.1,M21.B002314.3_56_F.1.1,endothelial cell,3_56_F
M21.MAA000531.3_8_M.1.1,M21.MAA000531.3_8_M.1.1,endothelial cell,3_8_M
M21.MAA000877.3_11_M.1.1,M21.MAA000877.3_11_M.1.1,endothelial cell,3_11_M
M22.MAA000531.3_8_M.1.1,M22.MAA000531.3_8_M.1.1,endothelial cell,3_8_M
M3.D045064.3_38_F.1.1,M3.D045064.3_38_F.1.1,mesenchymal stem cell of adipose,3_38_F
M3.MAA000531.3_8_M.1.1,M3.MAA000531.3_8_M.1.1,mesenchymal stem cell of adipose,3_8_M
M4.D045064.3_38_F.1.1,M4.D045064.3_38_F.1.1,mesenchymal stem cell of adipose,3_38_F
M4.MAA000531.3_8_M.1.1,M4.MAA000531.3_8_M.1.1,mesenchymal stem cell of adipose,3_8_M
M7.D045064.3_38_F.1.1,M7.D045064.3_38_F.1.1,mesenchymal stem cell of adipose,3_38_F
M7.MAA000531.3_8_M.1.1,M7.MAA000531.3_8_M.1.1,mesenchymal stem cell of adipose,3_8_M
M7.MAA000877.3_11_M.1.1,M7.MAA000877.3_11_M.1.1,mesenchymal stem cell of adipose,3_11_M
M8.D043520.3_39_F.1.1,M8.D043520.3_39_F.1.1,mesenchymal stem cell of adipose,3_39_F
M9.B002314.3_56_F.1.1,M9.B002314.3_56_F.1.1,macrophage,3_56_F
M9.D043520.3_39_F.1.1,M9.D043520.3_39_F.1.1,macrophage,3_39_F
M9.D045064.3_38_F.1.1,M9.D045064.3_38_F.1.1,myeloid cell,3_38_F
M9.MAA000877.3_11_M.1.1,M9.MAA000877.3_11_M.1.1,B cell,3_11_M
N1.MAA000877.3_11_M.1.1,N1.MAA000877.3_11_M.1.1,mesenchymal stem cell of adipose,3_11_M
N1.MAA000914.3_9_M.1.1,N1.MAA000914.3_9_M.1.1,mesenchymal stem cell of adipose,3_9_M
N10.B002314.3_56_F.1.1,N10.B002314.3_56_F.1.1,macrophage,3_56_F
N10.D043520.3_39_F.1.1,N10.D043520.3_39_F.1.1,"CD8-positive, alpha-beta T cell",3_39_F
N10.D045064.3_38_F.1.1,N10.D045064.3_38_F.1.1,B cell,3_38_F
N10.MAA000531.3_8_M.1.1,N10.MAA000531.3_8_M.1.1,myeloid cell,3_8_M
N10.MAA000877.3_11_M.1.1,N10.MAA000877.3_11_M.1.1,macrophage,3_11_M
N10.MAA000914.3_9_M.1.1,N10.MAA000914.3_9_M.1.1,"CD4-positive, alpha-beta T cell",3_9_M
N11.B002314.3_56_F.1.1,N11.B002314.3_56_F.1.1,macrophage,3_56_F
N11.D043520.3_39_F.1.1,N11.D043520.3_39_F.1.1,B cell,3_39_F
N11.D045064.3_38_F.1.1,N11.D045064.3_38_F.1.1,"CD4-positive, alpha-beta T cell",3_38_F
N11.MAA000877.3_11_M.1.1,N11.MAA000877.3_11_M.1.1,B cell,3_11_M
N11.MAA000914.3_9_M.1.1,N11.MAA000914.3_9_M.1.1,"CD4-positive, alpha-beta T cell",3_9_M
N12.B002314.3_56_F.1.1,N12.B002314.3_56_F.1.1,B cell,3_56_F
N12.D043520.3_39_F.1.1,N12.D043520.3_39_F.1.1,macrophage,3_39_F
N12.D045064.3_38_F.1.1,N12.D045064.3_38_F.1.1,myeloid cell,3_38_F
N12.MAA000877.3_11_M.1.1,N12.MAA000877.3_11_M.1.1,"CD8-positive, alpha-beta T cell",3_11_M
N13.B002314.3_56_F.1.1,N13.B002314.3_56_F.1.1,"CD4-positive, alpha-beta T cell",3_56_F
N13.D043520.3_39_F.1.1,N13.D043520.3_39_F.1.1,myeloid cell,3_39_F
N13.MAA000877.3_11_M.1.1,N13.MAA000877.3_11_M.1.1,"CD4-positive, alpha-beta T cell",3_11_M
N14.B002314.3_56_F.1.1,N14.B002314.3_56_F.1.1,macrophage,3_56_F
N14.D043520.3_39_F.1.1,N14.D043520.3_39_F.1.1,macrophage,3_39_F
N14.MAA000877.3_11_M.1.1,N14.MAA000877.3_11_M.1.1,B cell,3_11_M
N15.B002314.3_56_F.1.1,N15.B002314.3_56_F.1.1,macrophage,3_56_F
N15.D045064.3_38_F.1.1,N15.D045064.3_38_F.1.1,myeloid cell,3_38_F
N15.MAA000877.3_11_M.1.1,N15.MAA000877.3_11_M.1.1,B cell,3_11_M
N15.MAA000914.3_9_M.1.1,N15.MAA000914.3_9_M.1.1,macrophage,3_9_M
N16.B002314.3_56_F.1.1,N16.B002314.3_56_F.1.1,macrophage,3_56_F
N16.MAA000531.3_8_M.1.1,N16.MAA000531.3_8_M.1.1,macrophage,3_8_M
N16.MAA000877.3_11_M.1.1,N16.MAA000877.3_11_M.1.1,"CD8-positive, alpha-beta T cell",3_11_M
N16.MAA000914.3_9_M.1.1,N16.MAA000914.3_9_M.1.1,B cell,3_9_M
N17.MAA000531.3_8_M.1.1,N17.MAA000531.3_8_M.1.1,endothelial cell,3_8_M
N17.MAA000877.3_11_M.1.1,N17.MAA000877.3_11_M.1.1,endothelial cell,3_11_M
N18.MAA000914.3_9_M.1.1,N18.MAA000914.3_9_M.1.1,endothelial cell,3_9_M
N19.MAA000914.3_9_M.1.1,N19.MAA000914.3_9_M.1.1,mesenchymal stem cell of adipose,3_9_M
N2.B002314.3_56_F.1.1,N2.B002314.3_56_F.1.1,mesenchymal stem cell of adipose,3_56_F
N2.MAA000914.3_9_M.1.1,N2.MAA000914.3_9_M.1.1,mesenchymal stem cell of adipose,3_9_M
N20.MAA000877.3_11_M.1.1,N20.MAA000877.3_11_M.1.1,endothelial cell,3_11_M
N21.MAA000877.3_11_M.1.1,N21.MAA000877.3_11_M.1.1,endothelial cell,3_11_M
N21.MAA000914.3_9_M.1.1,N21.MAA000914.3_9_M.1.1,mesenchymal stem cell of adipose,3_9_M
N22.MAA000531.3_8_M.1.1,N22.MAA000531.3_8_M.1.1,endothelial cell,3_8_M
N4.B002314.3_56_F.1.1,N4.B002314.3_56_F.1.1,mesenchymal stem cell of adipose,3_56_F
N4.MAA000914.3_9_M.1.1,N4.MAA000914.3_9_M.1.1,mesenchymal stem cell of adipose,3_9_M
N6.MAA000531.3_8_M.1.1,N6.MAA000531.3_8_M.1.1,mesenchymal stem cell of adipose,3_8_M
N7.MAA000877.3_11_M.1.1,N7.MAA000877.3_11_M.1.1,mesenchymal stem cell of adipose,3_11_M
N8.MAA000877.3_11_M.1.1,N8.MAA000877.3_11_M.1.1,mesenchymal stem cell of adipose,3_11_M
N9.B002314.3_56_F.1.1,N9.B002314.3_56_F.1.1,"CD8-positive, alpha-beta T cell",3_56_F
N9.D043520.3_39_F.1.1,N9.D043520.3_39_F.1.1,myeloid cell,3_39_F
N9.MAA000877.3_11_M.1.1,N9.MAA000877.3_11_M.1.1,B cell,3_11_M
O10.B002314.3_56_F.1.1,O10.B002314.3_56_F.1.1,"CD8-positive, alpha-beta T cell",3_56_F
O10.D045064.3_38_F.1.1,O10.D045064.3_38_F.1.1,B cell,3_38_F
O10.MAA000531.3_8_M.1.1,O10.MAA000531.3_8_M.1.1,macrophage,3_8_M
O10.MAA000877.3_11_M.1.1,O10.MAA000877.3_11_M.1.1,"CD4-positive, alpha-beta T cell",3_11_M
O10.MAA000914.3_9_M.1.1,O10.MAA000914.3_9_M.1.1,"CD4-positive, alpha-beta T cell",3_9_M
O11.D043520.3_39_F.1.1,O11.D043520.3_39_F.1.1,"CD8-positive, alpha-beta T cell",3_39_F
O11.D045064.3_38_F.1.1,O11.D045064.3_38_F.1.1,B cell,3_38_F
O11.MAA000531.3_8_M.1.1,O11.MAA000531.3_8_M.1.1,macrophage,3_8_M
O11.MAA000877.3_11_M.1.1,O11.MAA000877.3_11_M.1.1,B cell,3_11_M
O11.MAA000914.3_9_M.1.1,O11.MAA000914.3_9_M.1.1,"CD4-positive, alpha-beta T cell",3_9_M
O12.B002314.3_56_F.1.1,O12.B002314.3_56_F.1.1,"CD4-positive, alpha-beta T cell",3_56_F
O12.D043520.3_39_F.1.1,O12.D043520.3_39_F.1.1,myeloid cell,3_39_F
O12.D045064.3_38_F.1.1,O12.D045064.3_38_F.1.1,B cell,3_38_F
O12.MAA000877.3_11_M.1.1,O12.MAA000877.3_11_M.1.1,"CD4-positive, alpha-beta T cell",3_11_M
O12.MAA000914.3_9_M.1.1,O12.MAA000914.3_9_M.1.1,B cell,3_9_M
O13.B002314.3_56_F.1.1,O13.B002314.3_56_F.1.1,"CD4-positive, alpha-beta T cell",3_56_F
O13.D043520.3_39_F.1.1,O13.D043520.3_39_F.1.1,B cell,3_39_F
O13.MAA000531.3_8_M.1.1,O13.MAA000531.3_8_M.1.1,myeloid cell,3_8_M
O13.MAA000877.3_11_M.1.1,O13.MAA000877.3_11_M.1.1,B cell,3_11_M
O13.MAA000914.3_9_M.1.1,O13.MAA000914.3_9_M.1.1,"CD4-positive, alpha-beta T cell",3_9_M
O14.B002314.3_56_F.1.1,O14.B002314.3_56_F.1.1,macrophage,3_56_F
O14.MAA000531.3_8_M.1.1,O14.MAA000531.3_8_M.1.1,B cell,3_8_M
O14.MAA000877.3_11_M.1.1,O14.MAA000877.3_11_M.1.1,B cell,3_11_M
O14.MAA000914.3_9_M.1.1,O14.MAA000914.3_9_M.1.1,"CD8-positive, alpha-beta T cell",3_9_M
O15.B002314.3_56_F.1.1,O15.B002314.3_56_F.1.1,B cell,3_56_F
O15.D043520.3_39_F.1.1,O15.D043520.3_39_F.1.1,B cell,3_39_F
O15.MAA000531.3_8_M.1.1,O15.MAA000531.3_8_M.1.1,myeloid cell,3_8_M
O15.MAA000877.3_11_M.1.1,O15.MAA000877.3_11_M.1.1,macrophage,3_11_M
O15.MAA000914.3_9_M.1.1,O15.MAA000914.3_9_M.1.1,B cell,3_9_M
O16.B002314.3_56_F.1.1,O16.B002314.3_56_F.1.1,"CD8-positive, alpha-beta T cell",3_56_F
O16.D043520.3_39_F.1.1,O16.D043520.3_39_F.1.1,macrophage,3_39_F
O16.MAA000877.3_11_M.1.1,O16.MAA000877.3_11_M.1.1,B cell,3_11_M
O16.MAA000914.3_9_M.1.1,O16.MAA000914.3_9_M.1.1,B cell,3_9_M
O17.MAA000531.3_8_M.1.1,O17.MAA000531.3_8_M.1.1,endothelial cell,3_8_M
O18.MAA000914.3_9_M.1.1,O18.MAA000914.3_9_M.1.1,mesenchymal stem cell of adipose,3_9_M
O19.MAA000877.3_11_M.1.1,O19.MAA000877.3_11_M.1.1,endothelial cell,3_11_M
O19.MAA000914.3_9_M.1.1,O19.MAA000914.3_9_M.1.1,endothelial cell,3_9_M
O21.MAA000877.3_11_M.1.1,O21.MAA000877.3_11_M.1.1,endothelial cell,3_11_M
O22.MAA000877.3_11_M.1.1,O22.MAA000877.3_11_M.1.1,endothelial cell,3_11_M
O3.MAA000914.3_9_M.1.1,O3.MAA000914.3_9_M.1.1,B cell,3_9_M
O7.D045064.3_38_F.1.1,O7.D045064.3_38_F.1.1,mesenchymal stem cell of adipose,3_38_F
O7.MAA000914.3_9_M.1.1,O7.MAA000914.3_9_M.1.1,mesenchymal stem cell of adipose,3_9_M
O8.D043520.3_39_F.1.1,O8.D043520.3_39_F.1.1,mesenchymal stem cell of adipose,3_39_F
O8.MAA000877.3_11_M.1.1,O8.MAA000877.3_11_M.1.1,mesenchymal stem cell of adipose,3_11_M
O8.MAA000914.3_9_M.1.1,O8.MAA000914.3_9_M.1.1,mesenchymal stem cell of adipose,3_9_M
O9.D043520.3_39_F.1.1,O9.D043520.3_39_F.1.1,macrophage,3_39_F
O9.MAA000531.3_8_M.1.1,O9.MAA000531.3_8_M.1.1,myeloid cell,3_8_M
O9.MAA000877.3_11_M.1.1,O9.MAA000877.3_11_M.1.1,B cell,3_11_M
O9.MAA000914.3_9_M.1.1,O9.MAA000914.3_9_M.1.1,"CD4-positive, alpha-beta T cell",3_9_M
P10.B002314.3_56_F.1.1,P10.B002314.3_56_F.1.1,myeloid cell,3_56_F
P10.D045064.3_38_F.1.1,P10.D045064.3_38_F.1.1,macrophage,3_38_F
P10.MAA000531.3_8_M.1.1,P10.MAA000531.3_8_M.1.1,macrophage,3_8_M
P10.MAA000877.3_11_M.1.1,P10.MAA000877.3_11_M.1.1,macrophage,3_11_M
P10.MAA000914.3_9_M.1.1,P10.MAA000914.3_9_M.1.1,B cell,3_9_M
P11.B002314.3_56_F.1.1,P11.B002314.3_56_F.1.1,myeloid cell,3_56_F
P11.D043520.3_39_F.1.1,P11.D043520.3_39_F.1.1,macrophage,3_39_F
P11.D045064.3_38_F.1.1,P11.D045064.3_38_F.1.1,macrophage,3_38_F
P11.MAA000531.3_8_M.1.1,P11.MAA000531.3_8_M.1.1,macrophage,3_8_M
P11.MAA000877.3_11_M.1.1,P11.MAA000877.3_11_M.1.1,macrophage,3_11_M
P11.MAA000914.3_9_M.1.1,P11.MAA000914.3_9_M.1.1,"CD4-positive, alpha-beta T cell",3_9_M
P12.B002314.3_56_F.1.1,P12.B002314.3_56_F.1.1,B cell,3_56_F
P12.D043520.3_39_F.1.1,P12.D043520.3_39_F.1.1,B cell,3_39_F
P12.MAA000877.3_11_M.1.1,P12.MAA000877.3_11_M.1.1,"CD8-positive, alpha-beta T cell",3_11_M
P12.MAA000914.3_9_M.1.1,P12.MAA000914.3_9_M.1.1,"CD4-positive, alpha-beta T cell",3_9_M
P13.B002314.3_56_F.1.1,P13.B002314.3_56_F.1.1,"CD8-positive, alpha-beta T cell",3_56_F
P13.D045064.3_38_F.1.1,P13.D045064.3_38_F.1.1,B cell,3_38_F
P13.MAA000531.3_8_M.1.1,P13.MAA000531.3_8_M.1.1,macrophage,3_8_M
P13.MAA000877.3_11_M.1.1,P13.MAA000877.3_11_M.1.1,myeloid cell,3_11_M
P13.MAA000914.3_9_M.1.1,P13.MAA000914.3_9_M.1.1,"CD4-positive, alpha-beta T cell",3_9_M
P14.B002314.3_56_F.1.1,P14.B002314.3_56_F.1.1,macrophage,3_56_F
P14.MAA000531.3_8_M.1.1,P14.MAA000531.3_8_M.1.1,macrophage,3_8_M
P14.MAA000914.3_9_M.1.1,P14.MAA000914.3_9_M.1.1,"CD4-positive, alpha-beta T cell",3_9_M
P15.B002314.3_56_F.1.1,P15.B002314.3_56_F.1.1,macrophage,3_56_F
P15.D043520.3_39_F.1.1,P15.D043520.3_39_F.1.1,macrophage,3_39_F
P15.D045064.3_38_F.1.1,P15.D045064.3_38_F.1.1,macrophage,3_38_F
P15.MAA000531.3_8_M.1.1,P15.MAA000531.3_8_M.1.1,myeloid cell,3_8_M
P15.MAA000914.3_9_M.1.1,P15.MAA000914.3_9_M.1.1,B cell,3_9_M
P16.B002314.3_56_F.1.1,P16.B002314.3_56_F.1.1,macrophage,3_56_F
P16.D043520.3_39_F.1.1,P16.D043520.3_39_F.1.1,myeloid cell,3_39_F
P16.D045064.3_38_F.1.1,P16.D045064.3_38_F.1.1,myeloid cell,3_38_F
P16.MAA000531.3_8_M.1.1,P16.MAA000531.3_8_M.1.1,macrophage,3_8_M
P17.MAA000914.3_9_M.1.1,P17.MAA000914.3_9_M.1.1,endothelial cell,3_9_M
P18.MAA000531.3_8_M.1.1,P18.MAA000531.3_8_M.1.1,endothelial cell,3_8_M
P19.MAA000531.3_8_M.1.1,P19.MAA000531.3_8_M.1.1,endothelial cell,3_8_M
P2.MAA000877.3_11_M.1.1,P2.MAA000877.3_11_M.1.1,mesenchymal stem cell of adipose,3_11_M
P21.MAA000914.3_9_M.1.1,P21.MAA000914.3_9_M.1.1,mesenchymal stem cell of adipose,3_9_M
P4.MAA000531.3_8_M.1.1,P4.MAA000531.3_8_M.1.1,mesenchymal stem cell of adipose,3_8_M
P5.D043520.3_39_F.1.1,P5.D043520.3_39_F.1.1,mesenchymal stem cell of adipose,3_39_F
P5.MAA000877.3_11_M.1.1,P5.MAA000877.3_11_M.1.1,mesenchymal stem cell of adipose,3_11_M
P8.D043520.3_39_F.1.1,P8.D043520.3_39_F.1.1,mesenchymal stem cell of adipose,3_39_F
P9.B002314.3_56_F.1.1,P9.B002314.3_56_F.1.1,macrophage,3_56_F
P9.MAA000531.3_8_M.1.1,P9.MAA000531.3_8_M.1.1,B cell,3_8_M
P9.MAA000877.3_11_M.1.1,P9.MAA000877.3_11_M.1.1,B cell,3_11_M
P9.MAA000914.3_9_M.1.1,P9.MAA000914.3_9_M.1.1,B cell,3_9_M
